title,company,location,skills,description,certifications,clean_text,detected_skills
Data Analyst,Nova Analytics,Remote,Python;SQL;Excel;Power BI;Pandas;Statistics,"Analyse business data, build dashboards, write SQL queries, clean datasets and communicate insights.",,data analyst python sql excel power bi pandas statistics analyse business data build dashboards write sql queries clean datasets and communicate insights.,Excel|Pandas|Power BI|Python|SQL|Statistics
Data Scientist,Vertex Labs,Bengaluru,Python;Machine Learning;SQL;Pandas;Scikit-learn;Statistics,"Build predictive models, validate experiments and communicate data science findings.",,data scientist python machine learning sql pandas scikit-learn statistics build predictive models validate experiments and communicate data science findings.,Data Science|Machine Learning|Pandas|Python|Scikit-learn|SQL|Statistics
Machine Learning Engineer,Astra AI,Hyderabad,Python;Machine Learning;Docker;Git;Scikit-learn;APIs,"Develop machine learning pipelines, deploy models and monitor prediction services.",,machine learning engineer python machine learning docker git scikit-learn apis develop machine learning pipelines deploy models and monitor prediction services.,APIs|Docker|Git|Machine Learning|Python|Scikit-learn
Business Analyst,InsightWorks,Pune,SQL;Excel;Requirements Gathering;Data Analysis;Communication,"Translate business requirements into analysis, reporting and process recommendations.",,business analyst sql excel requirements gathering data analysis communication translate business requirements into analysis reporting and process recommendations.,Business Analyst|Communication|Data Analysis|Excel|Requirements Gathering|SQL
Python Developer,CodeOrbit,Remote,Python;Git;APIs;SQL;Flask;Django,"Develop Python applications, APIs and database-driven backend services.",,python developer python git apis sql flask django develop python applications apis and database-driven backend services.,APIs|Database|Django|Flask|Git|Python|SQL
Backend Developer,CloudArc,Chennai,Python;SQL;PostgreSQL;APIs;Docker;Git,"Develop secure backend services, APIs and database integrations.",,backend developer python sql postgresql apis docker git develop secure backend services apis and database integrations.,APIs|Database|Docker|Git|PostgreSQL|Python|SQL
Data Engineer,PipelineX,Bengaluru,Python;SQL;ETL;Spark;Airflow;AWS,Build scalable data pipelines and maintain analytics-ready datasets.,,data engineer python sql etl spark airflow aws build scalable data pipelines and maintain analytics-ready datasets.,Airflow|AWS|ETL|Python|Spark|SQL
DevOps Engineer,OpsNova,Remote,Docker;Kubernetes;AWS;Linux;Git;CI/CD,Build automated deployment pipelines and maintain cloud infrastructure.,,devops engineer docker kubernetes aws linux git ci cd build automated deployment pipelines and maintain cloud infrastructure.,AWS|DevOps|Docker|Git|Kubernetes|Linux
Cyber Security Analyst,SecureGrid,Gurugram,Linux;Python;SIEM;Network Security;Incident Response,"Monitor security events, investigate incidents and improve defensive controls.",,cyber security analyst linux python siem network security incident response monitor security events investigate incidents and improve defensive controls.,Cyber Security|Incident Response|Linux|Network Security|Python|SIEM
Database Administrator,DataCore,Noida,SQL;MySQL;PostgreSQL;Database;Linux,"Manage relational databases, access controls, backups and query performance.",,database administrator sql mysql postgresql database linux manage relational databases access controls backups and query performance.,Database|Linux|MySQL|PostgreSQL|SQL
Java Developer,ByteForge,Pune,Java;Spring;SQL;Git;APIs,Build Java backend services and maintain enterprise applications.,,java developer java spring sql git apis build java backend services and maintain enterprise applications.,APIs|Git|Java|Spring|SQL
Web Developer,PixelStack,Remote,HTML;CSS;JavaScript;React;Git;APIs,Develop responsive web applications and integrate backend APIs.,,web developer html css javascript react git apis develop responsive web applications and integrate backend apis.,APIs|CSS|Git|HTML|JavaScript|React
Automation Test Engineer,QualityX,Hyderabad,Python;Selenium;Testing;Git;APIs,Design automated tests and improve software quality pipelines.,,automation test engineer python selenium testing git apis design automated tests and improve software quality pipelines.,APIs|Git|Python|Selenium|Testing
Network Engineer,NetWave,Mumbai,Networking;Linux;TCP/IP;Firewalls;Troubleshooting,Configure and troubleshoot enterprise networks and security controls.,,network engineer networking linux tcp ip firewalls troubleshooting configure and troubleshoot enterprise networks and security controls.,Firewalls|Linux|Networking
Cloud Engineer,SkyOps,Bengaluru,AWS;Azure;Docker;Linux;Terraform;Networking,Build and operate secure cloud infrastructure and deployment environments.,,cloud engineer aws azure docker linux terraform networking build and operate secure cloud infrastructure and deployment environments.,AWS|Azure|Docker|Linux|Networking|Terraform
AI Engineer,NeuralWorks,Remote,Python;Machine Learning;NLP;Deep Learning;PyTorch;APIs,"Develop AI features using machine learning, NLP and production APIs.",,ai engineer python machine learning nlp deep learning pytorch apis develop ai features using machine learning nlp and production apis.,APIs|Deep Learning|Machine Learning|NLP|Python|PyTorch
